Timestamp,Channel 1,Channel 2,Channel 3,Channel 4
1730768166.3525624,-503.90625,-636.71875,-381.8359375,-286.62109375,301.26953125
1730768166.3564687,-501.953125,-649.4140625,-291.9921875,-117.67578125,298.828125
1730768166.360375,104.00390625,490.72265625,220.703125,260.7421875,-58.59375
1730768166.3642812,216.30859375,556.15234375,105.95703125,164.0625,-91.796875
1730768166.3681874,-339.35546875,-22.94921875,-101.5625,-262.20703125,-123.046875
1730768166.3720937,-538.57421875,25.87890625,-38.0859375,-250.9765625,-193.359375
1730768166.371125,-31.73828125,471.6796875,132.8125,169.921875,-149.90234375
1730768166.3750312,247.0703125,438.4765625,91.30859375,248.53515625,-44.43359375
1730768166.3789375,-195.80078125,-15.625,-163.57421875,-162.59765625,-66.40625
1730768166.3828437,-599.609375,-242.1875,-244.140625,-310.546875,-73.2421875
1730768166.38675,-229.98046875,-103.02734375,-39.55078125,49.8046875,-16.6015625
1730768166.3906562,248.53515625,7.8125,27.34375,274.4140625,115.72265625
1730768166.3945625,-42.48046875,-751.953125,-439.453125,-47.36328125,592.7734375
1730768166.3984687,-557.12890625,-924.8046875,-475.5859375,-344.7265625,479.98046875
1730768166.402375,-320.3125,40.0390625,36.62109375,-77.63671875,-92.28515625
1730768166.4062812,232.91015625,414.0625,116.2109375,288.57421875,-33.203125
1730768166.4101875,179.6875,347.16796875,53.7109375,77.1484375,-30.2734375
1730768166.4140937,-374.51171875,292.96875,-57.6171875,-300.78125,-232.421875
