Timestamp,Channel 1,Channel 2,Channel 3,Channel 4,Delta - Channel 1,Delta - Channel 2,Delta - Channel 3,Delta - Channel 4,Theta - Channel 1,Theta - Channel 2,Theta - Channel 3,Theta - Channel 4,Alpha - Channel 1,Alpha - Channel 2,Alpha - Channel 3,Alpha - Channel 4,Beta - Channel 1,Beta - Channel 2,Beta - Channel 3,Beta - Channel 4
1730770413.09375,-113.28125,-129.8828125,-78.61328125,-56.15234375,-256.34765625,-0.00018935466272959918,-0.00021710491502617836,-0.00013140560646321322,-9.386114747372373e-05,-0.0005803631759965589,-0.0006654164000650201,-0.00040275203161830165,-0.0002876800225845012,-0.0013745924176124542,-0.0015760413064004862,-0.0009539197380845048,-0.000681371241488932,-0.13129579307854722,-0.15053741792626535,-0.09111475295537114,-0.06508196639669367
1730770413.55675,-89.35546875,-86.9140625,-83.49609375,-49.8046875,-157.71484375,-0.0001493616520668821,-0.0001452807326115028,-0.0001395674453739718,-8.325075688973758e-05,-0.00045778647072142366,-0.0004452786436525323,-0.00042776768575608436,-0.00025515967220538367,-0.0010842690190649962,-0.0010546441824785208,-0.0010131694112574554,-0.0006043466663640962,-0.10356521609212993,-0.1007355653792302,-0.0967740543811706,-0.057724874543154385
1730770414.00675,-55.17578125,-222.65625,-66.89453125,-28.80859375,-216.796875,-9.222877969157202e-05,-0.0003721798543305915,-0.00011181719307739262,-4.815484957347566e-05,-0.00028267689175694464,-0.0011407138286828916,-0.0003427144616876232,-0.000147592359412918,-0.0006695213068543419,-0.0027017850966865476,-0.0008117205224694233,-0.0003495730717204086,-0.06395010611153377,-0.2580641450164549,-0.07753242953345246,-0.03338987841221675
1730770414.4678438,-106.4453125,-245.1171875,-52.24609375,-65.91796875,-213.8671875,-0.00017792808825453716,-0.00040972431332008096,-8.733167634511687e-05,-0.00011018482529524091,-0.0005453412602036632,-0.0012557858377166922,-0.000267667499274275,-0.0003377113308600666,-0.0012916428751703233,-0.0029743335932821205,-0.0006339715029505715,-0.0007998705878348332,-0.123372771082428,-0.2840969315751324,-0.06055452525605411,-0.07640056924829257
1730770414.936125,22.4609375,-231.93359375,-83.49609375,-45.8984375,-196.77734375,3.7544458989489494e-05,-0.0003876873482610328,-0.0001395674453739718,-7.67212857611307e-05,0.00011507200903380048,-0.0011882435715446788,-0.00042776768575608436,-0.0002351471488951575,0.0002725484965955728,-0.0028143594757151537,-0.0010131694112574554,-0.0005569469278257357,0.026032786558677468,-0.26881681772547383,-0.0967740543811706,-0.05319743340251482
1730770415.3912814,-99.12109375,-115.234375,-61.03515625,-55.6640625,354.4921875,-0.00016568532988839928,-0.00019261939829390263,-0.00010202298638448232,-9.304496358264788e-05,-0.000507817778996989,-0.000590369437651672,-0.0003126956767222839,-0.0002851784571707229,-0.0012027683654108974,-0.0013982922868816343,-0.0007406209146618826,-0.0006754462741716369,-0.11488381894372883,-0.133559513648867,-0.07074126782249313,-0.06451603625411373
1730770415.8484688,22.4609375,-126.46484375,-83.0078125,-44.43359375,64.453125,3.7544458989489494e-05,-0.00021139162778864736,-0.00013875126148289596,-7.427273408790313e-05,0.00011507200903380048,-0.0006479054421685722,-0.0004252661203423061,-0.00022764245265382267,0.0002725484965955728,-0.0015345665351794208,-0.0010072444439401603,-0.0005391720258738506,0.026032786558677468,-0.14657590692820574,-0.09620812423859064,-0.05149964297477499
1730770416.3105626,14.6484375,-149.90234375,-22.4609375,-31.73828125,133.7890625,2.4485516732275756e-05,-0.00025056845456028856,-3.7544458989489494e-05,-5.305195291993081e-05,7.504696241334814e-05,-0.0007679805820299293,-0.00011507200903380048,-0.00016260175189558763,0.00017774901951885183,-0.0018189649664095836,-0.0002725484965955728,-0.00038512287562417896,0.01697790427739835,-0.1737405537720431,-0.026032786558677468,-0.03678545926769642
1730770429.456125,-6.34765625,-93.75,-65.4296875,-28.80859375,222.16796875,-1.0610390583986161e-05,-0.00015670730708656485,-0.00010936864140416504,-4.815484957347566e-05,-3.2520350379117525e-05,-0.0004803005594454281,-0.0003352097654462883,-0.000147592359412918,-7.702457512483579e-05,-0.0011375937249206516,-0.0007939456205175382,-0.0003495730717204086,-0.007357091853539284,-0.10865858737534943,-0.07583463910571263,-0.03338987841221675
1730770449.571125,192.87109375,-88.8671875,-42.48046875,-26.85546875,-270.5078125,0.0003223926369749641,-0.00014854546817580626,-7.10079985235997e-05,-4.489011400917222e-05,0.0009881183384424172,-0.00045528490530764534,-0.0002176361909987096,-0.00013758609775780492,0.002340362090331549,-0.0010783440517477011,-0.0005154721566046703,-0.0003258732024512283,0.22354240631907826,-0.10299928594954998,-0.049235922404455214,-0.031126157841896974
1730770469.670125,161.1328125,-142.578125,-175.78125,25.87890625,79.58984375,0.00026934068405503334,-0.0002383256961941507,-0.00029382620078730905,4.32577462270205e-05,0.0008255165865468295,-0.0007304571008232552,-0.0009005635489601776,0.00013258296693024837,0.00195523921470737,-0.0017300904566501577,-0.002132988234226222,0.0003140232678166382,0.18675694705138182,-0.16525160163334393,-0.2037348513287802,0.029994297556737083
1730770489.680125,68.359375,-55.17578125,331.54296875,94.7265625,-136.23046875,0.0001142657447506202,-9.222877969157202e-05,0.0005541888620405079,0.00015833967486871656,0.00035021915792895797,-0.00028267689175694464,0.001698562915955446,0.00048530369027298463,0.0008294954244213085,-0.0006695213068543419,0.004023052808443346,0.0011494436595552418,0.0792302199611923,-0.06395010611153377,0.3842665668117826,0.10979044766050933
1730770509.840125,-77.63671875,-69.3359375,-41.9921875,-34.1796875,-85.44921875,-0.0001297732386810615,-0.00011589811253277191,-7.019181463252384e-05,-5.71328723753101e-05,-0.0003977489007907451,-0.0003552222887565145,-0.00021513462558493131,-0.00017510957896447899,-0.0009420698034499147,-0.0008413453590558986,-0.0005095471892873752,-0.00041474771221065425,-0.08998289267021124,-0.08036208024635218,-0.04866999226187527,-0.03961510998059615
1730770529.939125,49.8046875,-152.83203125,-46.38671875,-14.16015625,-131.34765625,8.325075688973758e-05,-0.0002554655579067437,-7.753746965220656e-05,-2.3669332841199897e-05,0.00025515967220538367,-0.0007829899745125989,-0.00023764871430893576,-7.254539699956986e-05,0.0006043466663640962,-0.001854514770313354,-0.0005628718951430308,-0.00017182405220155677,0.057724874543154385,-0.17713613462752278,-0.05376336354509477,-0.016411974134818402
1730770550.054125,-108.88671875,-92.28515625,-64.94140625,-67.87109375,-187.5,-0.00018200900770991646,-0.00015425875541333727,-0.00010855245751308918,-0.00011344956085954433,-0.0005578490872725544,-0.00047279586320409325,-0.00033270820003251006,-0.0003477175925151797,-0.0013212677117567986,-0.0011198188229687666,-0.0007880206532002431,-0.0008235704571040134,-0.12620242179532773,-0.1069607969476096,-0.07526870896313267,-0.07866428981861234
